antecedents_str,consequents_str,support,confidence,lift
pasta,escalope,0.005865884548726837,0.3728813559322034,4.700811850163794
escalope,pasta,0.005865884548726837,0.07394957983193277,4.700811850163794
pasta,shrimp,0.005065991201173177,0.3220338983050847,4.506672147735896
shrimp,pasta,0.005065991201173177,0.0708955223880597,4.506672147735896
whole wheat pasta,olive oil,0.007998933475536596,0.2714932126696833,4.122410097642296
olive oil,whole wheat pasta,0.007998933475536596,0.12145748987854252,4.1224100976422955
"herb & pepper, spaghetti",ground beef,0.006399146780429276,0.3934426229508197,4.004359721511667
ground beef,"herb & pepper, spaghetti",0.006399146780429276,0.06512890094979648,4.004359721511667
ground beef,"herb & pepper, mineral water",0.006665777896280496,0.067842605156038,3.9756826662143836
"herb & pepper, mineral water",ground beef,0.006665777896280496,0.39062500000000006,3.975682666214383
tomato sauce,ground beef,0.005332622317024397,0.3773584905660377,3.840659481324083
ground beef,tomato sauce,0.005332622317024397,0.054274084124830396,3.840659481324083
